mou,totmrc,vceovr,datovr,roam,change_mou,change_rev,drop_vce,blck_vce,unan_vce,plcd_dat,recv_vce,custcare,ccrndmou,threeway,mou_cvce,mou_cdat,mou_rvce,owylis_vce,mouowylisv,iwylis_vce,mouiwylisv,mou_peav,mou_pead,opk_vce,mou_opkv,drop_blk,complete,callwait,months,uniqsubs,actvsubs,asl_flag,adjrev,adjmou,avgrev,avg3qty,avg6rev,refurb_new,hnd_price,phones,models,hnd_webcap,lor,dwlltype,adults,income,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID,new_cell_N,new_cell_U,new_cell_Y,prizm_social_one_C,prizm_social_one_R,prizm_social_one_S,prizm_social_one_T,prizm_social_one_U,dualband_N,dualband_T,dualband_Y,marital_A,marital_B,marital_M,marital_S,marital_U,dualband_U
920.75,69.99,91.9,17.8425,4.7125,1041.25,350.7275,11.0,0.666666667,31.66666667,10.0,81.33333333,0.0,0.0,0.0,247.2833333,33.79666667,115.3366667,36.66666667,65.57666667,4.666666667,4.203333333,130.7933333,8.993333333,101.6666667,231.8266667,12.0,130.6666667,2.333333333,7,2,1,0,774.9,4294.0,129.15,198,129.0,0,79.98999023,1.0,1.0,0,4.0,1,1.0,8.0,0,0,0,1,216.0,1090011,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
918.5,44.99,25.3,0.0,0.0,-136.5,-5.245,5.666666667,0.0,9.333333333,0.0,161.0,0.666666667,1.333333333,0.333333333,424.3,0.0,187.3166667,35.66666667,22.78,3.333333333,4.326666667,121.25,0.0,371.0,490.3666667,5.666666667,367.0,0.0,11,1,1,1,722.24,8236.0,72.22,464,86.0,0,129.9899902,1.0,1.0,0,2.0,0,2.0,6.0,0,0,0,1,323.0,1090012,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
930.5,49.655,23.6,0.0,1.26,-73.5,29.5225,3.333333333,0.0,154.6666667,0.0,58.33333333,3.333333333,4.666666667,0.333333333,426.0366667,0.0,140.86,31.0,60.91,6.666666667,19.72333333,249.2133333,0.0,122.6666667,317.6833333,3.333333333,243.6666667,4.333333333,11,1,1,1,616.23,8271.0,61.62,335,62.0,0,99.98999023,1.0,1.0,0,3.0,0,1.0,2.0,0,0,0,1,323.0,1090013,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
389.25,69.99,0.0,0.0,0.0,76.75,0.495,2.0,2.333333333,7.666666667,0.0,44.0,0.333333333,2.666666667,0.0,148.6166667,0.0,136.5833333,20.66666667,13.07,0.666666667,0.19,198.5133333,0.0,45.33333333,86.68666667,4.333333333,106.0,0.666666667,7,1,1,1,406.77,2875.0,67.8,150,68.0,0,129.9899902,1.0,1.0,0,1.0,1,1.0,8.0,0,0,0,1,216.0,1090014,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1208.75,62.49,93.5,0.195,0.27,590.25,127.7325,18.66666667,38.66666667,189.0,2.0,108.6666667,4.666666667,6.0,0.666666667,598.6433333,0.096666667,384.8566667,27.0,25.96,14.0,60.83666667,408.3433333,0.0,202.3333333,575.1566667,57.33333333,287.6666667,6.666666667,11,1,1,1,1032.96,8711.0,103.3,320,122.0,0,99.29758975321944,3.0,3.0,1,10.0,1,4.0,4.0,0,0,0,0,42.0,1090015,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1512.5,49.8275,10.8,0.0975,0.0,-788.5,-15.735,21.33333333,3.666666667,27.33333333,0.333333333,52.33333333,0.333333333,0.333333333,0.0,698.37,0.05,534.37,19.66666667,30.31,5.666666667,14.45,248.9133333,0.0,120.3333333,983.8333333,25.0,140.0,1.0,7,1,1,1,354.72,8875.0,59.12,213,59.0,0,129.9899902,1.0,1.0,0,1.0,1,5.0,5.0,0,0,0,0,216.0,1090016,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1342.5,69.99,27.7,0.0,0.0,-255.5,3.805,9.666666667,1.0,41.66666667,0.0,232.0,5.0,7.0,1.333333333,585.0866667,0.0,440.3033333,104.3333333,131.4033333,18.33333333,57.98,331.6666667,0.0,306.0,693.7266667,10.66666667,365.0,7.333333333,7,1,1,0,463.79,8333.0,77.3,498,77.0,0,149.9899902,1.0,1.0,0,2.0,0,1.0,6.0,0,0,0,0,216.0,1090017,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1.25,44.99,0.0,0.0,0.0,-1.25,0.0,0.0,0.0,0.0,0.0,1.333333333,0.0,0.0,0.666666667,1.433333333,0.0,0.0,0.0,0.0,0.0,0.0,1.433333333,0.0,0.0,0.0,0.0,1.333333333,0.0,11,2,2,0,316.17,10.0,35.13,1,35.0,0,29.98999023,1.0,1.0,0,15.0,1,4.0,6.0,1,1,0,1,323.0,1090018,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
713.5,59.99,7.7,5.9475,0.0,4.5,9.8575,12.33333333,0.0,30.0,0.0,66.0,0.666666667,5.0,0.0,274.8533333,0.0,142.31,37.66666667,43.8,12.0,13.08,148.2,0.0,95.0,268.9633333,12.33333333,123.3333333,3.0,11,2,2,0,807.2,7342.0,80.72,197,70.0,0,149.9899902,1.0,1.0,0,1.0,1,1.0,5.0,0,0,0,1,323.0,1090019,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
248.5,44.99,0.0,0.0,0.0,-13.5,0.7425,0.0,2.0,6.666666667,0.0,9.666666667,0.333333333,0.666666667,0.0,242.5,0.0,25.71333333,2.0,1.766666667,0.0,0.0,81.8,0.0,23.0,186.4133333,2.0,32.0,0.0,9,1,1,0,286.26,2221.0,35.78,34,35.0,0,129.9899902,1.0,1.0,0,6.0,0,2.0,7.0,0,0,0,0,262.0,1090020,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
914.25,69.99,34.6,0.0,0.0,45.75,-2.7925,17.0,4.0,127.3333333,0.0,370.0,8.0,8.0,0.666666667,353.7066667,0.0,178.7766667,79.33333333,59.52666667,40.33333333,35.21,291.3233333,0.0,285.3333333,241.16,21.0,285.0,0.333333333,7,2,2,0,657.34,5947.0,109.56,438,110.0,0,199.9899902,1.0,1.0,0,7.0,0,3.0,1.0,0,0,0,1,216.0,1090021,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0.5,44.99,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,0,389.83,411.0,38.98,0,39.0,0,149.9899902,1.0,1.0,0,1.0,0,1.0,7.0,1,1,1,1,323.0,1090022,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
598.25,39.99,0.0,0.0,0.0,95.75,0.0,11.33333333,13.0,20.0,0.0,100.6666667,6.666666667,7.0,0.0,208.2533333,0.0,142.5633333,38.0,18.06,11.0,22.1,200.7,0.0,120.0,150.1166667,24.33333333,185.6666667,5.0,11,1,1,0,431.96,5691.0,43.2,275,41.0,0,129.9899902,4.0,2.0,0,13.0,0,2.0,7.0,0,0,0,1,81.0,1090023,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
454.0,56.12,3.3,0.39,0.0,31.0,-2.1,6.0,1.333333333,36.66666667,1.0,101.0,2.666666667,3.666666667,2.0,123.74,0.13,133.9733333,40.33333333,25.43666667,15.0,18.04666667,154.7633333,0.13,102.6666667,102.95,7.333333333,125.6666667,1.0,7,2,2,0,308.5,2417.0,51.42,236,51.0,0,129.9899902,1.0,1.0,0,1.0,1,3.0,7.0,0,0,0,0,216.0,1090024,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1375.25,10.0,22.5,0.0,0.0,-272.25,-24.975,38.66666667,0.666666667,58.0,0.0,182.6666667,2.0,5.666666667,1.0,468.37,0.0,492.71,102.0,144.8066667,94.33333333,308.53,534.4466667,0.0,159.6666667,426.6266667,39.33333333,249.0,9.333333333,11,3,3,0,605.81,11256.0,60.58,448,33.0,0,99.98999023,2.0,1.0,0,6.0,1,2.0,1.0,0,0,0,1,323.0,1090025,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
524.25,69.99,32.1,0.0975,0.0,-51.25,-31.8075,1.333333333,3.0,71.33333333,0.333333333,102.6666667,0.0,0.0,0.0,195.8833333,0.0,163.9033333,36.0,19.39333333,25.66666667,30.79666667,240.9066667,0.0,101.6666667,118.88,4.333333333,176.0,2.666666667,11,2,2,0,923.35,5223.0,92.34,273,85.0,0,149.9899902,3.0,2.0,0,5.0,1,3.0,2.0,0,0,0,1,179.0,1090026,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
703.5,59.99,34.3,0.0,0.0,-293.5,-39.745,30.0,2.666666667,119.3333333,0.0,114.6666667,0.666666667,0.666666667,2.333333333,432.1933333,0.0,122.4733333,31.0,23.8,7.0,6.086666667,363.0166667,0.0,81.33333333,191.6533333,32.66666667,212.0,5.666666667,11,2,1,0,666.43,4966.0,74.05,306,78.0,0,79.98999023,1.0,1.0,1,12.0,1,4.0,1.0,0,0,0,0,323.0,1090027,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
576.0,69.99,3.2,0.0,0.0,-234.0,-3.2,24.33333333,4.0,32.33333333,0.0,115.3333333,0.0,0.0,0.0,132.5033333,0.0,164.5166667,67.33333333,57.33,19.66666667,72.50666667,84.31666667,0.0,138.3333333,212.7033333,28.33333333,131.6666667,3.666666667,11,2,2,0,637.62,5438.0,63.76,280,66.0,0,29.98999023,2.0,2.0,1,1.0,1,2.0,7.0,0,0,0,0,263.0,1090028,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
394.25,69.4075,0.0,0.0,0.0,204.75,0.615,1.0,1.666666667,20.66666667,0.333333333,41.66666667,0.666666667,0.666666667,0.0,137.0266667,0.0,160.1366667,8.0,6.99,2.333333333,4.54,108.23,0.0,62.33333333,188.9333333,2.666666667,69.66666667,0.333333333,9,1,1,1,431.25,2008.0,53.91,106,54.0,0,129.9899902,2.0,2.0,0,15.0,1,6.0,5.0,0,0,1,1,118.0,1090029,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
349.75,29.99,19.8,0.195,0.0,213.25,60.4425,4.0,0.0,36.66666667,0.666666667,91.0,0.0,0.0,0.666666667,126.4966667,0.413333333,63.53333333,82.0,65.61666667,27.66666667,27.04,60.23666667,0.0,137.3333333,129.7933333,4.0,146.3333333,0.0,11,4,3,0,289.67,2675.0,32.19,162,32.0,0,129.9899902,2.0,2.0,0,1.0,0,3.0,4.0,0,0,0,1,102.0,1090030,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
143.75,39.99,0.0,0.0,0.195,20.25,-0.9375,2.0,0.0,5.333333333,0.0,14.0,0.0,0.0,0.333333333,50.07,0.0,18.30333333,9.666666667,8.05,1.0,6.526666667,39.17666667,0.0,22.0,29.19666667,2.0,34.33333333,0.333333333,11,1,1,0,326.74,1554.0,32.67,55,32.0,1,29.98999023,1.0,1.0,0,8.0,1,3.0,7.0,0,0,0,1,323.0,1090031,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
102.25,39.99,0.0,0.6825,0.0975,1.75,1.17,1.333333333,0.333333333,5.666666667,1.0,7.0,0.0,0.0,0.0,48.76666667,1.82,13.77666667,4.666666667,2.96,0.0,0.0,49.62666667,0.46,7.0,12.91666667,1.666666667,28.66666667,0.0,9,1,1,0,363.96,1225.0,45.5,40,48.0,0,149.9899902,1.0,1.0,0,5.0,1,3.0,9.0,0,0,0,1,262.0,1090032,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1539.0,100.1025,41.5,0.0,3.7375,-1073.0,-61.2575,21.66666667,71.66666667,22.66666667,0.0,200.0,29.66666667,52.33333333,2.0,500.24,0.0,558.47,91.0,50.37,68.33333333,175.2933333,555.0566667,0.0,254.3333333,503.6533333,93.33333333,345.6666667,12.0,7,1,1,1,826.78,10536.0,137.8,677,138.0,0,149.9899902,1.0,1.0,0,4.0,1,6.0,4.0,0,0,0,0,216.0,1090033,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
746.0,69.99,2.3,0.0,0.0,-152.0,-2.3,16.66666667,0.666666667,32.66666667,0.0,19.66666667,14.33333333,19.0,0.0,669.5266667,0.0,38.17666667,8.666666667,5.05,0.0,0.0,374.0733333,0.0,66.33333333,333.63,17.33333333,149.6666667,1.333333333,11,1,1,0,620.79,6234.0,62.08,154,63.0,0,149.9899902,1.0,1.0,0,2.0,1,1.0,9.0,0,0,0,1,323.0,1090034,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
84.5,44.99,0.0,0.0,0.0,-5.5,0.0,0.666666667,0.333333333,3.666666667,0.0,3.333333333,0.0,0.0,0.0,11.98666667,0.0,7.39,22.33333333,6.32,0.0,0.0,8.816666667,0.0,18.0,10.56,1.0,32.0,0.0,11,1,1,1,428.86,1140.0,42.89,53,39.0,0,199.9899902,1.0,1.0,0,15.0,0,3.0,4.0,0,0,0,0,323.0,1090035,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
328.75,40.07,7.1175,0.0,0.0,479.25,-4.6975,0.0,1.0,4.666666667,0.0,16.66666667,0.0,0.0,0.0,107.1233333,0.0,16.86,4.0,2.913333333,1.0,1.303333333,55.86,0.0,33.33333333,68.12333333,1.0,54.33333333,0.0,11,1,1,1,318.94,1474.0,31.89,76,38.0,0,99.98999023,1.0,1.0,0,2.0,1,3.0,5.0,0,0,0,1,323.0,1090036,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2275.5,85.3925,136.3,0.0,2.575,-110.5,-62.2525,18.33333333,43.33333333,105.3333333,0.333333333,156.0,7.666666667,32.33333333,6.0,1150.133333,0.0,662.15,95.66666667,113.83,11.33333333,29.22333333,777.55,0.0,312.0,1034.73,61.66666667,433.0,23.0,9,1,1,1,1629.61,13043.0,203.7,573,223.0,0,149.9899902,1.0,1.0,0,2.0,1,3.0,1.0,0,0,0,0,262.0,1090037,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1105.0,69.99,104.3,0.0,0.0,1984.0,316.885,6.333333333,5.666666667,19.66666667,0.333333333,58.33333333,0.0,0.0,0.0,369.39,0.0,341.88,102.3333333,264.0466667,31.0,124.5666667,250.4666667,0.0,112.3333333,460.8,12.0,133.0,13.66666667,7,1,1,0,358.08,6399.0,59.68,103,60.0,1,99.98999023,2.0,2.0,0,6.0,0,1.0,4.0,0,0,0,0,52.0,1090038,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
410.25,9.435,37.6,0.0,0.0,167.75,49.19,0.0,3.333333333,13.66666667,0.0,10.33333333,0.0,0.0,0.0,130.1133333,0.0,47.34666667,15.33333333,78.83,5.666666667,15.62333333,104.5966667,0.0,14.33333333,72.86333333,3.333333333,31.66666667,0.333333333,11,2,2,0,246.36,2949.0,24.64,83,32.0,0,149.9899902,1.0,1.0,0,2.0,1,5.0,7.0,0,0,0,1,323.0,1090039,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
345.25,72.49,10.0,0.0,0.0,446.75,-7.5,6.666666667,2.666666667,10.66666667,0.0,29.0,0.0,0.0,0.0,262.1633333,0.0,71.93,27.0,50.72,10.33333333,33.6,201.8833333,0.0,44.33333333,132.21,9.333333333,76.66666667,1.0,7,4,2,0,513.18,1462.0,85.53,70,86.0,0,29.98999023,1.0,1.0,0,3.0,1,3.0,8.0,0,0,1,1,216.0,1090040,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
263.0,69.99,0.0,0.0,11.115,-14.0,-6.3,5.333333333,0.666666667,11.0,0.0,20.0,0.0,0.0,0.0,112.6433333,0.0,22.38,3.666666667,5.96,0.0,0.0,104.28,0.0,24.33333333,30.74333333,6.0,78.0,1.0,7,1,1,0,357.42,1815.0,59.57,113,60.0,0,129.9899902,1.0,1.0,0,15.0,1,2.0,9.0,0,0,0,1,216.0,1090041,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
550.0,10.0,5.425,0.0,0.0,237.0,-5.425,1.333333333,0.0,9.666666667,0.0,26.33333333,1.0,5.666666667,0.0,290.02,0.0,95.17333333,19.66666667,65.62666667,4.666666667,31.88666667,251.27,0.0,26.66666667,133.9233333,1.333333333,61.66666667,1.333333333,11,2,2,0,296.16,4664.0,29.62,91,32.0,0,149.9899902,1.0,1.0,0,2.0,1,1.0,5.0,0,0,0,1,323.0,1090042,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1134.25,94.99,26.075,0.0,0.0,-297.25,-32.2625,2.666666667,5.0,64.66666667,3.0,130.6666667,0.666666667,0.666666667,0.0,603.9433333,5.516666667,211.6933333,15.33333333,10.85333333,8.666666667,5.47,745.21,2.563333333,47.0,70.43,7.666666667,338.6666667,4.0,9,1,1,0,920.4,9460.0,115.05,481,123.0,0,129.9899902,1.0,1.0,0,5.0,0,4.0,6.0,0,0,0,0,262.0,1090043,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2423.75,79.91,188.025,0.0,2.93,-847.75,-120.245,30.0,4.666666667,116.3333333,0.0,124.3333333,11.33333333,18.66666667,1.666666667,1774.336667,0.0,336.4266667,178.6666667,339.2066667,33.0,103.8766667,1027.003333,0.0,303.6666667,1083.753333,34.66666667,582.3333333,19.33333333,11,1,1,1,3741.57,26940.0,374.16,715,328.0,0,149.9899902,3.0,3.0,0,2.0,1,3.0,4.0,0,0,0,1,184.0,1090044,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
100.0,10.0,0.0,0.0,0.0,-36.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,0.0,0.0,62.91666667,0.0,7.013333333,2.666666667,0.693333333,0.666666667,0.386666667,44.59,0.0,14.0,25.34,0.0,48.66666667,0.0,11,2,2,0,91.35,904.0,10.15,55,10.0,0,149.9899902,1.0,1.0,0,8.0,1,2.0,3.0,0,0,0,0,322.0,1090045,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
503.5,79.99,0.0,0.0,0.0,51.5,0.0,0.666666667,27.33333333,6.0,26.66666667,54.66666667,0.666666667,1.333333333,0.333333333,123.9666667,166.0433333,64.2,22.66666667,20.84333333,6.333333333,5.523333333,63.82666667,30.20333333,81.33333333,124.34,28.33333333,111.0,1.666666667,9,1,1,1,436.19,5462.0,54.52,171,56.0,0,149.9899902,1.0,1.0,0,8.0,1,2.0,1.0,0,0,0,1,261.0,1090046,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
151.5,10.0,0.0,0.0,0.0,185.5,0.0,5.333333333,0.333333333,21.0,2.0,19.33333333,0.0,0.0,0.0,77.13666667,3.796666667,24.91666667,11.0,9.136666667,3.333333333,2.153333333,46.21,2.936666667,29.0,55.84333333,5.666666667,44.66666667,0.0,9,2,2,0,100.16,1030.0,12.52,36,10.0,0,199.9899902,1.0,1.0,0,15.0,1,1.0,9.0,0,0,0,0,261.0,1090047,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1359.0,42.33,97.6,0.0,0.0,-899.0,-171.7975,14.33333333,1.666666667,66.66666667,0.0,303.3333333,5.333333333,8.333333333,0.333333333,558.81,0.0,641.2,41.66666667,54.92666667,26.66666667,68.36333333,486.2033333,0.0,250.3333333,713.8066667,16.0,255.0,0.666666667,9,1,1,0,1081.67,12204.0,135.21,524,144.0,0,129.9899902,1.0,1.0,0,3.0,0,6.0,6.0,0,0,0,0,261.0,1090048,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
360.25,44.99,0.0,0.0,0.0,-162.25,-2.475,20.33333333,0.333333333,11.66666667,0.0,66.33333333,2.0,7.0,1.0,144.6033333,0.0,71.20333333,25.0,28.09,5.0,4.123333333,81.54333333,0.0,101.6666667,134.2633333,20.66666667,122.6666667,0.0,7,4,1,0,252.82,2584.0,42.14,216,42.0,0,129.9899902,1.0,1.0,0,6.0,1,1.0,6.0,0,0,0,1,215.0,1090049,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
244.25,29.99,2.625,0.0975,0.0,35.75,7.53,0.333333333,3.333333333,10.33333333,0.333333333,2.0,2.666666667,3.333333333,0.0,226.7466667,0.0,1.716666667,1.666666667,1.11,0.0,0.0,162.83,0.0,17.33333333,65.63333333,3.666666667,51.66666667,0.0,7,2,1,0,155.56,1200.0,31.11,43,57.95863987707208,0,59.98999023,1.0,1.0,0,1.0,0,1.0,3.0,0,0,0,0,215.0,1090050,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1057.75,29.995,35.1,0.0,0.0,-1057.75,-95.0775,52.33333333,2.0,40.33333333,0.0,125.0,11.0,30.33333333,1.333333333,948.83,0.0,173.3133333,63.33333333,111.7033333,15.66666667,26.72666667,331.0566667,0.0,259.3333333,791.0866667,54.33333333,423.0,2.0,11,1,1,1,1751.19,17541.0,175.12,464,126.0,1,79.98999023,3.0,2.0,0,9.0,0,1.0,8.0,0,0,0,1,105.0,1090051,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
29.0,10.0,10.25,0.0,0.0,-29.0,-10.8125,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0.0,0.0,2.0,4.3,0.0,0.0,17.8,0.0,0.0,0.0,0.666666667,5.333333333,0.0,11,4,1,0,344.61,116.0,34.46,9,24.0,0,59.98999023,1.0,1.0,0,3.0,0,2.0,6.0,0,0,0,0,322.0,1090052,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
